"id","title","normalized_title","type","subtype","grade","rarity","durability_max","is_personal","is_event","price","extra","description","raw_response"
"1","🔪 Деревянный меч [I]","деревянный меч","оружие","одноручный меч","I","обычная","25","1","0","1","Бонусы предмета:
· 🗡 Атака: 4 [🔻️599]
· 🥊 Крит: 10 [🔻️410]
· 💥 Сила крита: 10 [🔻️60]","Простое, но эффективное оружие в умелых руках. На первое время сойдёт, как для тренировок, так и для освоения навыков.","📋 Страница экипировки

🔪 Деревянный меч [I] :

Простое, но эффективное оружие в умелых руках. На первое время сойдёт, как для тренировок, так и для освоения навыков.

❇️ Тип предмета: 🔪 Оружие
📏 Тип оружия: Одноручный меч
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· 🗡 Атака: 4 [🔻️599]
· 🥊 Крит: 10 [🔻️410]
· 💥 Сила крита: 10 [🔻️60]

⚙️ Максимальная прочность: 25

📌 Персональный предмет


💰 Цена продажи:1"
"2","🥾 Сапоги скороходы [I]","сапоги скороходы","сапоги",NULL,"I","легендарная","0","1","0","1","Бонусы предмета:
· 🏃🏻‍♂️ Скорость: 100/минуту [➕️100]
· ❤️ Здоровье: [🔻️635]
· 🔰 Защита: [🔻️92]
· 🥊 Крит: [🔻️601]
· 👁 Предвидение: [🔻️288]
· 🎯 Точность: [🔻️277]","Величайший Артефакт вне времени и пространства. На внутренней стороне написано:""От Одмэна""","📋 Страница экипировки

🥾 Сапоги скороходы [I] :

Величайший Артефакт вне времени и пространства. На внутренней стороне написано:""От Одмэна""

❇️ Тип предмета: 🥾 Сапоги
☢️ Грейд: [I]
💎 Редкость: Легендарная

Бонусы предмета:
· 🏃🏻‍♂️ Скорость: 100/минуту [➕️100]
· ❤️ Здоровье: [🔻️635]
· 🔰 Защита: [🔻️92]
· 🥊 Крит: [🔻️601]
· 👁 Предвидение: [🔻️288]
· 🎯 Точность: [🔻️277]

⚙️ Максимальная прочность: 0

📌 Персональный предмет


💰 Цена продажи:1"
"3","🎩 Котелок [I]","котелок","шлем",NULL,"I","обычная","10","0","0","5","Бонусы предмета:
· ❤️ Здоровье: 10 [🔻️511]
· 🔰 Защита: 4 [🔻️68]
· 🥊 Крит: [🔻️616]
· 👁 Предвидение: [🔻️256]
· 🎯 Точность: [🔻️230]
Требования для ношения:
· ✊ Сила: 6
· ♥️ Выносливость: 5","Довольно забавно смотрится на голове. Но... лучше, чем ничего","📋 Страница экипировки

🎩 Котелок [I] :

Довольно забавно смотрится на голове. Но... лучше, чем ничего

❇️ Тип предмета: 🎩 Шлем
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· ❤️ Здоровье: 10 [🔻️511]
· 🔰 Защита: 4 [🔻️68]
· 🥊 Крит: [🔻️616]
· 👁 Предвидение: [🔻️256]
· 🎯 Точность: [🔻️230]

Требования для ношения:
· ✊ Сила: 6
· ♥️ Выносливость: 5

⚙️ Максимальная прочность: 10


💰 Цена продажи:5"
"4","🥾 Валенки [I]","валенки","сапоги",NULL,"I","обычная","10","0","0","3","Бонусы предмета:
· 🔰 Защита: 1 [🔻️91]
· 🥊 Крит: 15 [🔻️586]
· ⚡️ Уворот: 15 [➕️15]
· 🏃🏻‍♂️ Скорость: 4/минуту [➕️4]
· ❤️ Здоровье: [🔻️635]
· 👁 Предвидение: [🔻️288]
· 🎯 Точность: [🔻️277]
Требования для ношения:
· ✊ Сила: 2
· ♥️ Выносливость: 2","Ноги не мерзнут - уже хорошо.","📋 Страница экипировки

🥾 Валенки [I] :

Ноги не мерзнут - уже хорошо.

❇️ Тип предмета: 🥾 Сапоги
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· 🔰 Защита: 1 [🔻️91]
· 🥊 Крит: 15 [🔻️586]
· ⚡️ Уворот: 15 [➕️15]
· 🏃🏻‍♂️ Скорость: 4/минуту [➕️4]
· ❤️ Здоровье: [🔻️635]
· 👁 Предвидение: [🔻️288]
· 🎯 Точность: [🔻️277]

Требования для ношения:
· ✊ Сила: 2
· ♥️ Выносливость: 2

⚙️ Максимальная прочность: 10


💰 Цена продажи:3"
"6","🧤 Перчатки рабочего [I]","перчатки рабочего","перчатки",NULL,"I","обычная","10","0","0","1","Бонусы предмета:
· 🔰 Защита: 1 [🔻️91]
· 🥊 Крит: 3 [🔻️598]
· ❤️ Здоровье: [🔻️635]
· 👁 Предвидение: [🔻️288]
· 🎯 Точность: [🔻️277]","Отлично подходят для грубой работы с тяжестями.","📋 Страница экипировки

🧤 Перчатки рабочего [I] :

Отлично подходят для грубой работы с тяжестями.

❇️ Тип предмета: 🧤 Перчатки
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· 🔰 Защита: 1 [🔻️91]
· 🥊 Крит: 3 [🔻️598]
· ❤️ Здоровье: [🔻️635]
· 👁 Предвидение: [🔻️288]
· 🎯 Точность: [🔻️277]

⚙️ Максимальная прочность: 10


💰 Цена продажи:1"
"7","🛡 Дно от бочки [I]","дно от бочки","щит",NULL,"I","обычная","20","0","0","2","Бонусы предмета:
· 🔰 Защита: 2
Требования для ношения:
· ✊ Сила: 5
· ♥️ Выносливость: 7","После небольшого улучшения его уже можно использовать как неплохой щит.","📋 Страница экипировки

🛡 Дно от бочки [I] :

После небольшого улучшения его уже можно использовать как неплохой щит.

❇️ Тип предмета: 🛡 Щит
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· 🔰 Защита: 2 

Требования для ношения:
· ✊ Сила: 5
· ♥️ Выносливость: 7

⚙️ Максимальная прочность: 20


💰 Цена продажи:2"
"9","💍 Гайка [I]","гайка","кольцо",NULL,"I","обычная","10","0","0","4","Бонусы предмета:
· ❤️ Здоровье: 7 [➕️7]
· 🥊 Крит: [🔻️281]
· 👁 Предвидение: [🔻️130]
· 🎯 Точность: [🔻️139]
Требования для ношения:
· ♥️ Выносливость: 5","Придаёт уверенность","📋 Страница экипировки

💍 Гайка [I] :

Придаёт уверенность

❇️ Тип предмета: 💍 Кольцо
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· ❤️ Здоровье: 7 [➕️7]
· 🥊 Крит: [🔻️281]
· 👁 Предвидение: [🔻️130]
· 🎯 Точность: [🔻️139]

Требования для ношения:
· ♥️ Выносливость: 5

⚙️ Максимальная прочность: 10


💰 Цена продажи:4"
"10","🔪 Деревянная киянка [I]","деревянная киянка","оружие","одноручный молот","I","обычная","10","0","0","2","Бонусы предмета:
· 🗡 Атака: 7 [🔻️596]
· ❤️ Здоровье: 20 [➕️20]
· 🥊 Крит: [🔻️420]
· 💥 Сила крита: [🔻️70]
Требования для ношения:
· ✊ Сила: 4
· ♥️ Выносливость: 3","Ей одинаково удобно колоть не только орехи, но и черепа врагов.","📋 Страница экипировки

🔪 Деревянная киянка [I] :

Ей одинаково удобно колоть не только орехи, но и черепа врагов.

❇️ Тип предмета: 🔪 Оружие
📏 Тип оружия: Одноручный молот
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· 🗡 Атака: 7 [🔻️596]
· ❤️ Здоровье: 20 [➕️20]
· 🥊 Крит: [🔻️420]
· 💥 Сила крита: [🔻️70]

Требования для ношения:
· ✊ Сила: 4
· ♥️ Выносливость: 3

⚙️ Максимальная прочность: 10


💰 Цена продажи:2"
"12","🔪 Складной нож [I]","складной нож","оружие","одноручный кинжал","I","обычная","10","0","0","20","Бонусы предмета:
· 🗡 Атака: 3 [🔻️600]
· 🥊 Крит: 10 [🔻️410]
· ⚡️ Уворот: 10 [➕️10]
· 💥 Сила крита: [🔻️70]
Требования для ношения:
· ♥️ Выносливость: 2
· 💫 Ловкость: 2 🔻
· 🧿 Интуиция: 2","Устаревшее","📋 Страница экипировки

🔪 Складной нож [I] :

Устаревшее

❇️ Тип предмета: 🔪 Оружие
📏 Тип оружия: Одноручный кинжал
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· 🗡 Атака: 3 [🔻️600]
· 🥊 Крит: 10 [🔻️410]
· ⚡️ Уворот: 10 [➕️10]
· 💥 Сила крита: [🔻️70]

Требования для ношения:
· ♥️ Выносливость: 2
· 💫 Ловкость: 2 🔻
· 🧿 Интуиция: 2

⚙️ Максимальная прочность: 10


💰 Цена продажи:20"
"13","🔪 Стальной меч [I]","стальной меч","оружие","одноручный меч","I","редкая","10","0","0","50","Бонусы предмета:
· 🗡 Атака: 6 [🔻️597]
· ❤️ Здоровье: 8 [➕️8]
· 🥊 Крит: 12 [🔻️408]
· 💥 Сила крита: [🔻️70]
Требования для ношения:
· ✊ Сила: 5
· ♥️ Выносливость: 5
· 🧿 Интуиция: 8","Устаревшее","📋 Страница экипировки

🔪 Стальной меч [I] :

Устаревшее

❇️ Тип предмета: 🔪 Оружие
📏 Тип оружия: Одноручный меч
☢️ Грейд: [I]
💎 Редкость: Редкая

Бонусы предмета:
· 🗡 Атака: 6 [🔻️597]
· ❤️ Здоровье: 8 [➕️8]
· 🥊 Крит: 12 [🔻️408]
· 💥 Сила крита: [🔻️70]

Требования для ношения:
· ✊ Сила: 5
· ♥️ Выносливость: 5
· 🧿 Интуиция: 8

⚙️ Максимальная прочность: 10


💰 Цена продажи:50"
