"id","location_id","title","level","exp","gold","raw_response"
"1","2","🐀 Речная крыса","1","7","2","📋 Страница монстра

🐀 Речная крыса
🔸 Уровень: 1
🗺 Зона охоты: 🏞 Устье реки (🏛 Аквелия)

Награда за убийство:
✨ Опыт: 7
💰 Золото: 2

Дроп ресурсов:
🧪 Эликсир здоровья +25% [I]
❇️ Кожа"
"2","2","🐙 Болотник","2","13","2","📋 Страница монстра

🐙 Болотник
🔸 Уровень: 2
🗺 Зона охоты: 🏞 Устье реки (🏛 Аквелия)

Награда за убийство:
✨ Опыт: 13
💰 Золото: 2

Дроп ресурсов:
❇️ Кожа
🧪 Эликсир здоровья +50% [I]
❇️ Олово"
"4","2","🐸 Жаболюд","3","20","3","📋 Страница монстра

🐸 Жаболюд
🔸 Уровень: 3
🗺 Зона охоты: 🏞 Устье реки (🏛 Аквелия)

Награда за убийство:
✨ Опыт: 20
💰 Золото: 3

Дроп ресурсов:
🧪 Эликсир здоровья +50% [I]
❇️ Кожа"
"5","1","🐍 Гадюка","5","25","3","📋 Страница монстра

🐍 Гадюка
🔸 Уровень: 5
🗺 Зона охоты: 🌲 Темный лес (🏛 Аквелия)

Награда за убийство:
✨ Опыт: 25
💰 Золото: 3

Дроп ресурсов:
❇️ Сосна
🧪 Эликсир здоровья +50% [I]
🧪 Эликсир здоровья +25% [I]
✴️ Дуб"
"6","1","🐺 Молодой волк","6","33","3","📋 Страница монстра

🐺 Молодой волк
🔸 Уровень: 6
🗺 Зона охоты: 🌲 Темный лес (🏛 Аквелия)

Награда за убийство:
✨ Опыт: 33
💰 Золото: 3

Дроп ресурсов:
❇️ Сосна
👝 Мешок с ресурсами [I]
🧪 Эликсир здоровья +25% [I]
⏺ Бук"
"7","1","🕷 Черная королева","7","45","6","📋 Страница монстра

🕷 Черная королева
🔸 Уровень: 7
🗺 Зона охоты: 🌲 Темный лес (🏛 Аквелия)

Награда за убийство:
✨ Опыт: 45
💰 Золото: 6

Дроп ресурсов:
👝 Мешок с ресурсами [II]
🧪 Эликсир здоровья +25% [I]
👝 Мешок с ресурсами [I]
✴️ Медь
✴️ Кость
⏺ Бук"
"9","10","🕷 Пустынный паук","1","7","2","📋 Страница монстра

🕷 Пустынный паук
🔸 Уровень: 1
🗺 Зона охоты: 🏜 Пустошь (🏛 Дранг Гар)

Награда за убийство:
✨ Опыт: 7
💰 Золото: 2

Дроп ресурсов:
🧪 Эликсир здоровья +25% [I]
❇️ Сосна"
"10","10","🦂 Скорпион","2","13","2","📋 Страница монстра

🦂 Скорпион
🔸 Уровень: 2
🗺 Зона охоты: 🏜 Пустошь (🏛 Дранг Гар)

Награда за убийство:
✨ Опыт: 13
💰 Золото: 2

Дроп ресурсов:
🧪 Эликсир здоровья +50% [I]
❇️ Сосна
❇️ Олово"
"11","10","🦅 Стервятник","3","20","3","📋 Страница монстра

🦅 Стервятник
🔸 Уровень: 3
🗺 Зона охоты: 🏜 Пустошь (🏛 Дранг Гар)

Награда за убийство:
✨ Опыт: 20
💰 Золото: 3

Дроп ресурсов:
🧪 Эликсир здоровья +50% [I]
❇️ Сосна"
"12","9","🦇 Крылатый вампир","5","25","3","📋 Страница монстра

🦇 Крылатый вампир
🔸 Уровень: 5
🗺 Зона охоты: ⛰ Пещера (🏛 Дранг Гар)

Награда за убийство:
✨ Опыт: 25
💰 Золото: 3

Дроп ресурсов:
🧪 Эликсир здоровья +25% [I]
🧪 Эликсир здоровья +25% [I]
❇️ Кожа
✴️ Кость
✴️ Дуб"
