normalized_name,type,currency,median_price,min_price,max_price,sample_count
философский камень,buy,gold,100,50,170,1448
обожженный философский камень,buy,gold,300,150,350,1056
удача торговца,buy,gold,300,200,300,928
ремкомплект,buy,gold,5000,3000,8000,862
карбарась,buy,gold,43,25,80,788
ледяная удача кощара [ивент],buy,gold,700,380,700,773
эспадон маржаны [iii+] +4,sell,gold,16000,10000,16000,665
талант - потрошитель [ивент],sell,gold,5000,4000,6000,646
свиток кселеса,sell,cookie,100,70,100,641
"обожженный философский камень, офк",buy,gold,250,250,350,613
"философский камень, фк",buy,gold,100,70,170,608
"печенье, печи",buy,gold,350,300,360,606
знак кулинара,buy,gold,1500,500,2500,523
кость,buy,gold,18,15,23,518
мешок материи,buy,gold,1700,1500,2000,476
безопасный свиток заточки [iii],sell,gold,1400,1300,1400,472
аквельский лук - /шт.,buy,gold,60,40,90,469
кавельский чеснок - /шт.,buy,gold,80,40,105,469
свиток удачи,sell,gold,300,250,340,467
безопасный свиток заточки [iii],buy,gold,1000,900,1000,462
оракул,buy,gold,2000,2000,2500,462
орлиный глаз,buy,gold,2000,2000,2500,462
мотыга мастера [iii],sell,gold,500,500,700,452
удочка мастера [iii],sell,gold,1500,1400,1600,452
зелье очищения камня [ii],buy,gold,1000,750,1400,448
лук мастера [iii],sell,gold,2000,1800,2000,430
амарант,buy,gold,90,30,140,418
внешний вид: наследник севера,sell,cookie,100,80,100,415
рецепт [ii]: массивный панцирь,buy,gold,280,150,350,413
рецепт [ii]: улучшенный акинак,buy,gold,200,150,250,413
рецепт [ii]: шлифованное забрало,buy,gold,200,150,250,413
рубиновая россыпь [ii],sell,gold,1600,1500,2500,413
рецепт колье безрассудства [ii],buy,gold,170,170,250,412
рецепт крушитель [ii],buy,gold,170,170,250,412
рецепт [ii]: походная каска,buy,gold,200,200,300,411
рецепт [ii]: фехтовальные перчатки,buy,gold,250,250,300,411
рецепт браслеты скорости [ii],buy,gold,150,150,200,411
рецепт изящный доспех [ii],buy,gold,150,150,200,411
рецепт клевец пробоин [ii],buy,gold,180,180,240,411
рецепт кровавая секира [ii],buy,gold,170,170,230,411
рецепт кулон стремлений [ii],buy,gold,150,150,200,411
рецепт ожерелье камней [ii],buy,gold,150,150,200,411
рецепт печать старца [ii],buy,gold,150,150,200,411
рецепт тяжелый клинок,buy,gold,150,150,200,411
талант - блестящие латы,sell,gold,3000,2500,3500,404
"свиток ""only pve"" 1ч",buy,gold,5000,4000,6000,403
титан,buy,gold,100,50,150,402
carbarack box [iii],sell,cookie,100,100,105,397
carbarack box [iv],sell,cookie,115,115,120,397
новый,sell,gold,5500,5000,6500,394
бутерброд [iii] - 7 дней,sell,gold,3500,3000,4000,391
материал материи [ii],buy,gold,200,200,300,385
малахитовое кольцо [ii],sell,gold,3500,2000,3500,382
кирка подмастерья,sell,gold,240,200,300,380
amulet waves [iii+] +6,sell,gold,36000,12000,36000,379
хитин,buy,gold,11,7,20,377
ледяные наручи провидца [iii+] +5,sell,gold,25000,10000,25000,375
amulet of sea water [iii+] +3,sell,gold,13000,13000,13000,374
bec de corbin [iii] +8,sell,gold,160000,160000,160000,374
crusher gloves [iii] +4,sell,gold,16000,16000,16000,374
graceful gloves [iii] +3,sell,gold,11000,11000,11000,374
rhino crusher gloves [iii] +3,sell,gold,13000,13000,13000,374
rhino crusher gloves [iii] +6,sell,gold,36000,36000,36000,374
skeleton helmet [ii],sell,gold,6000,6000,6000,374
t.rex berserker's armor [iii] +6,sell,gold,30000,30000,30000,374
t.rex dissent jacket [iii] +3,sell,gold,13000,13000,13000,374
t.rex graceful armor [iii] +3,sell,gold,13000,13000,13000,374
дайсё [iv],sell,cookie,450,450,450,374
загнал вьюги [iii+] +3,sell,gold,13000,13000,13000,374
кирка мастера [iii],sell,gold,1300,1300,1300,374
кожаные сапоги света [iv],sell,cookie,350,350,350,374
кулон наития [ii] +3,sell,gold,2500,2000,2500,374
любое т4 эпик оружие\броня,sell,cookie,500,500,500,374
любые т4 эпик сапоги\перчатки\шлем,sell,cookie,400,400,400,374
